area_type,availability,location,size(in BHK),total_sqft,per_Sqft,bath,furnishing,transaction,parking,price
Builder_Floor,Ready_to_move,Lajpat Nagar 2,2,850,22000,2,Semi-Furnished,Resale,1,14600000
Builder_Floor,Ready_to_move,Lajpat Nagar,4,8000,22000,5,Semi-Furnished,New_Property,1,240000000
Builder_Floor,Ready_to_move,Lajpat Nagar 1,2,890,22000,2,Semi-Furnished,Resale,1,8300000
Builder_Floor,Ready_to_move,"Vikram Vihar, Lajpat Nagar",3,1100,22000,3,Unfurnished,New_Property,1,22500000
Apartment,Ready_to_move,"DDA Flats Sector 14, Dwarka Sector 14",1,750,,1,Furnished,Resale,2,4600000
Apartment,Ready_to_move,"Siddhartha Heights, Dwarka Sector 24",2,850,2235,1,Semi-Furnished,New_Property,2,1900000
Apartment,Ready_to_move,"MTNL Employees House Welfare Society, Dwarka Sector 24",3,1350,3800,2,Unfurnished,New_Property,1,5130000
Apartment,Ready_to_move,"Delhi Homes Yojana, Dwarka Sector 24",4,1387,4247,4,Unfurnished,New_Property,1,5890000
Apartment,Ready_to_move,"The Elite Spire, Dwarka Sector 21",3,1050,3524,2,Unfurnished,New_Property,1,3700000
Apartment,Ready_to_move,"Kunj Vihar Apartment, Dwarka Sector 12",3,1500,3524,2,Unfurnished,Resale,1,17400000
Apartment,Ready_to_move,"Ashirwad Apartments, Dwarka Sector 12",3,1200,3524,3,Semi-Furnished,Resale,1,15500000
Apartment,Almost_ready,"MTNL Employees House Welfare Society, Dwarka Sector 24",2,700,3524,1,Semi-Furnished,New_Property,1,2400000
Apartment,Ready_to_move,"Sunny Valley Apartments, Dwarka",3,1700,3524,2,Semi-Furnished,Resale,1,17200000
Apartment,Ready_to_move,"Shri Agrasen Apartment, Dwarka Sector 7",3,1550,3524,2,Furnished,Resale,2,14200000
Apartment,Ready_to_move,"Chopra Apartment, Dwarka Sector 23",3,1400,3524,3,Semi-Furnished,Resale,1,13500000
Apartment,Ready_to_move,"Mohinder Apartments, Dwarka Sector 12",4,1900,3524,4,Semi-Furnished,Resale,1,30000000
Apartment,Ready_to_move,"Chander Lok Apartment, Dwarka Sector 19",4,2160,3524,3,Unfurnished,Resale,1,21000000
Apartment,Ready_to_move,"Neelachal, Dwarka Sector 5",4,1700,3524,3,Unfurnished,Resale,1,20500000
