area_type,availability,location,size(in BHK),total_sqft,per_Sqft,bath,furnishing,transaction,parking,price
Builder_Floor,Ready_to_move,"Batla House, Okhla",4,45,18750,3,Unfurnished,New_Property,1,5500000
Builder_Floor,Ready_to_move,"Friends Colony West, New Friends Colony",4,3510,,4,Semi-Furnished,Resale,2,45000000
Builder_Floor,Ready_to_move,New Friends Colony,4,4500,120000,4,Semi-Furnished,New_Property,2,60000000
Builder_Floor,Ready_to_move,New Friends Colony,4,1800,120000,4,Semi-Furnished,New_Property,2,65000000
Builder_Floor,Ready_to_move,"Maharani Bagh, New Friends Colony",5,6000,120000,5,Semi-Furnished,New_Property,9,220000000
Builder_Floor,Ready_to_move,New Friends Colony ,4,4300,120000,4,Unfurnished,Resale,2,60000000
Builder_Floor,Ready_to_move,"Friends Colony East, New Friends Colony",3,1700,120000,3,Semi-Furnished,New_Property,2,38500000
Apartment,Ready_to_move,"Maharani Bagh, New Friends Colony",3,2500,120000,3,Semi-Furnished,Resale,2,50000000
Builder_Floor,Ready_to_move,New Friends Colony,4,4500,120000,4,Semi-Furnished,New_Property,2,75000000
Builder_Floor,Ready_to_move,"Friends Colony West, New Friends Colony",4,2450,120000,4,Furnished,New_Property,2,70000000
Apartment,Ready_to_move,"Maharani Bagh, New Friends Colony",4,10350,15459,7,Semi-Furnished,New_Property,3,160000000
Builder_Floor,Ready_to_move,"Maharani Bagh, New Friends Colony",3,4800,15459,4,Semi-Furnished,Resale,1,85000000
Apartment,Ready_to_move,New Friends Colony,3,1600,15459,3,Semi-Furnished,Resale,2,40000000
Builder_Floor,Ready_to_move,New Friends Colony,4,3500,15459,4,Unfurnished,Resale,2,90000000
Builder_Floor,Ready_to_move,New Friends Colony,4,2100,15459,5,Semi-Furnished,New_Property,2,56000000
Builder_Floor,Ready_to_move,"Friends Colony East, New Friends Colony",5,4200,15459,5,Semi-Furnished,New_Property,2,135500000
Builder_Floor,Ready_to_move,New Friends Colony,3,1500,15459,3,Semi-Furnished,New_Property,2,60000000
Builder_Floor,Ready_to_move,"Maharani Bagh, New Friends Colony",4,8150,15459,5,Unfurnished,New_Property,4,170000000
Builder_Floor,Ready_to_move,"Kalindi Colony, Maharani Bagh, New Friends Colony",4,2200,15459,4,Semi-Furnished,Resale,2,50000000
Builder_Floor,Ready_to_move,New Friends Colony,4,3500,15459,5,Semi-Furnished,New_Property,2,58000000
Builder_Floor,Ready_to_move,"Friends Colony East, New Friends Colony",3,2070,15459,3,Semi-Furnished,New_Property,2,37500000
Builder_Floor,Ready_to_move,"Maharani Bagh, New Friends Colony",3,3500,15459,3,Unfurnished,Resale,1,45000000
Builder_Floor,Ready_to_move,New Friends Colony,4,2000,15459,4,Semi-Furnished,New_Property,3,70000000
Apartment,Ready_to_move,"Taimoor Enclave, New Friends Colony ",6,2800,15459,4,Semi-Furnished,Resale,2,29500000
Builder_Floor,Ready_to_move,New Friends Colony,4,2550,23529,4,Unfurnished,Resale,1,60000000
Builder_Floor,Ready_to_move,New Friends Colony,4,4500,23529,4,Semi-Furnished,Resale,2,70000000
Builder_Floor,Ready_to_move,New Friends Colony,3,1400,23529,3,Semi-Furnished,New_Property,2,50000000
Builder_Floor,Ready_to_move,New Friends Colony,4,2800,23529,5,Semi-Furnished,New_Property,2,75000000
Builder_Floor,Ready_to_move,"New Friends Colony Floors, New Friends Colony",4,2700,23529,4,Semi-Furnished,New_Property,2,52500000
Builder_Floor,Ready_to_move,New Friends Colony,4,4500,23529,4,Semi-Furnished,Resale,2,55000000
Builder_Floor,Ready_to_move,"Maharani Bagh, New Friends Colony",4,7200,16667,4,Semi-Furnished,Resale,2,120000000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",4,2799,,4,Semi-Furnished,New_Property,,65000000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",4,2650,,4,Unfurnished,New_Property,2,75000000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",4,2200,,4,Semi-Furnished,New_Property,2,47500000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",5,3500,20000,5,Semi-Furnished,New_Property,1,70000000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",4,2200,20000,4,Semi-Furnished,New_Property,2,47500000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",4,2200,20000,4,Semi-Furnished,New_Property,1,40000000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",4,3500,20000,4,Semi-Furnished,New_Property,3,85000000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",3,1440,20000,3,Semi-Furnished,New_Property,3,26000000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",4,3150,11111,4,Semi-Furnished,Resale,3,35000000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",2,900,11111,2,Semi-Furnished,Resale,3,20000000
Builder_Floor,Almost_ready,"Kailash Colony, Greater Kailash",4,3690,21409,5,Semi-Furnished,New_Property,3,79000000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",3,1200,21409,2,Semi-Furnished,Resale,3,17000000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",4,4500,95000,4,Semi-Furnished,Resale,2,47500000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",4,2799,15363,4,Semi-Furnished,New_Property,2,43000000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",3,1350,19259,3,Unfurnished,New_Property,1,26000000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",3,1200,20833,3,Unfurnished,New_Property,1,25000000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",4,2177,20833,5,Semi-Furnished,New_Property,2,51000000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",3,1500,20833,3,Semi-Furnished,New_Property,2,40000000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",3,1600,20833,3,Unfurnished,Resale,1,22500000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",4,4500,20833,4,Semi-Furnished,New_Property,1,70000000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",4,2150,20930,4,Unfurnished,New_Property,2,45000000
Apartment,Ready_to_move,"Kailash Colony, Greater Kailash",4,2107,20930,4,Semi-Furnished,New_Property,2,51100000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",3,1150,20930,3,Semi-Furnished,New_Property,1,25500000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",3,1240,20930,3,Unfurnished,New_Property,2,26500000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",2,1000,20930,2,Unfurnished,Resale,1,15000000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",4,4500,20930,4,Semi-Furnished,Resale,2,55000000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",3,1150,20930,3,Semi-Furnished,New_Property,2,26000000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",4,2000,20930,4,Semi-Furnished,Resale,2,38000000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",4,4500,20930,5,Semi-Furnished,Resale,2,72500000
Builder_Floor,Ready_to_move,"Kailash Colony, Greater Kailash",4,3000,20930,5,Semi-Furnished,New_Property,4,65000000
Builder_Floor,Ready_to_move,"Ram Nagar, Shahdara",2,700,,2,Unfurnished,New_Property,,4600000
Builder_Floor,Ready_to_move,"Jyoti Nagar West, Shahdara",2,750,,2,Semi-Furnished,Resale,,9200000
Apartment,Ready_to_move,"Hans Apartments, Vishwas Nagar, Shahdara",4,1350,,3,Unfurnished,Resale,2,9500000
Builder_Floor,Ready_to_move,"Naveen Shahdara, Shahdara",2,900,,2,Semi-Furnished,Resale,1,4500000
Builder_Floor,Ready_to_move,"Balbir Nagar, Shahdara",3,970,,2,Semi-Furnished,Resale,1,6500000
Builder_Floor,Ready_to_move,"Rohitash Nagar East, Shahdara",3,1000,,2,Furnished,Resale,1,5650000
Builder_Floor,Ready_to_move,"Naveen Shahdara, Shahdara",3,1425,6526,3,Semi-Furnished,Resale,1,9300000
Apartment,Ready_to_move,Shahdara,2,440,6526,2,Unfurnished,Resale,1,2700000
Builder_Floor,Ready_to_move,"Vishwas Nagar, Shahdara",2,1017,6526,2,Furnished,New_Property,1,6500000
Apartment,Ready_to_move,"DDA RPS Flats, Mansarowar Park, Shahdara",2,650,6526,2,Semi-Furnished,Resale,1,5800000
Apartment,Ready_to_move,Shahdara,3,950,6526,2,Semi-Furnished,Resale,1,5500000
Builder_Floor,Ready_to_move,"Yamuna Vihar, Shahdara",3,810,6526,2,Semi-Furnished,Resale,1,6000000
Builder_Floor,Ready_to_move,"Balbir Nagar, Shahdara",2,750,6526,2,Unfurnished,Resale,1,4500000
Builder_Floor,Ready_to_move,Shahdara,2,990,6526,2,Semi-Furnished,Resale,2,4100000
Builder_Floor,Ready_to_move,"Ram Nagar, Shahdara",3,800,6526,2,Semi-Furnished,Resale,2,3800000
Apartment,Ready_to_move,Shahdara,2,675,6526,1,Unfurnished,Resale,1,3300000
Builder_Floor,Ready_to_move,"Rohtash Nagar, Shahdara",2,558,6526,1,Unfurnished,New_Property,1,2900000
Builder_Floor,Ready_to_move,"Ram Nagar Extension, Shahdara",2,445,6526,1,Unfurnished,Resale,1,2000000
Builder_Floor,Ready_to_move,"Maujpur, Shahdara",2,360,6526,1,Unfurnished,New_Property,1,1550000
Builder_Floor,Ready_to_move,"Mansarowar Park, Shahdara",4,1350,6526,3,Semi-Furnished,New_Property,1,11300000
Builder_Floor,Ready_to_move,"Gorakh Park West, Shahdara",3,850,6526,2,Semi-Furnished,Resale,1,4500000
Apartment,Ready_to_move,"Shivnam Apartment, Shahdara",2,846,3901,1,Unfurnished,New_Property,1,3300000
Builder_Floor,Ready_to_move,"Mansarowar Park, Shahdara",4,1300,3901,3,Furnished,New_Property,1,11500000
Builder_Floor,Almost_ready,"Ram Nagar Extension, Shahdara",3,900,3901,2,Semi-Furnished,New_Property,1,6000000
Apartment,Ready_to_move,"Hans Apartments, Vishwas Nagar, Shahdara",3,1050,3901,2,Semi-Furnished,Resale,1,9000000
Builder_Floor,Ready_to_move,"Jyoti Colony, Shahdara",2,850,3901,2,Furnished,Resale,1,4500000
Apartment,Almost_ready,Shahdara,4,1650,3901,3,Furnished,New_Property,1,14000000
Apartment,Ready_to_move,"Ahinsha Vatika, Ram Nagar, Shahdara",2,1150,6347,2,Semi-Furnished,Resale,1,7300000
Builder_Floor,Ready_to_move,Shahdara,1,495.1394,41304,1,Furnished,Resale,1,1900000
Builder_Floor,Ready_to_move,"Naveen Shahdara, Shahdara",3,1053,41304,2,Furnished,Resale,4,7000000
Builder_Floor,Ready_to_move,"Yamuna Vihar, Shahdara",3,810,,2,Semi-Furnished,Resale,1,6000000
Builder_Floor,Ready_to_move,"Yamuna Vihar, Shahdara",1,750,,2,Semi-Furnished,Resale,1,6400000
Apartment,Ready_to_move,"Yamuna Vihar, Shahdara",2,540,5000,1,Furnished,New_Property,1,2700000
Builder_Floor,Ready_to_move,"Yamuna Vihar, Shahdara",2,747,8701,2,Furnished,Resale,1,6500000
Builder_Floor,Ready_to_move,"Yamuna Vihar, Shahdara",2,720,5556,1,Unfurnished,Resale,1,4000000
Apartment,Ready_to_move,"Yamuna Vihar, Shahdara",1,376.7365,85715,1,Semi-Furnished,New_Property,1,3000000
Builder_Floor,Ready_to_move,"Yamuna Vihar, Shahdara",2,1125,4444,2,Unfurnished,Resale,1,5000000
Builder_Floor,Ready_to_move,"Yamuna Vihar, Shahdara",2,713,4444,2,Semi-Furnished,New_Property,1,6000000
Builder_Floor,Ready_to_move,"Yamuna Vihar, Shahdara",1,360,6944,1,Unfurnished,Resale,1,2500000
Apartment,Ready_to_move,"Yamuna Vihar, Shahdara",2,900,7222,2,Semi-Furnished,Resale,1,6500000
Apartment,Ready_to_move,"Yamuna Vihar, Shahdara",3,713,11220,1,Unfurnished,Resale,1,8000000
Builder_Floor,Ready_to_move,"Yamuna Vihar, Shahdara",2,504,5357,1,Furnished,Resale,1,2700000
Apartment,Ready_to_move,"Yamuna Vihar, Shahdara",1,70,5357,2,Unfurnished,Resale,1,4500000
Builder_Floor,Ready_to_move,"Yamuna Vihar, Shahdara",3,850,6706,2,Furnished,Resale,1,5700000
Builder_Floor,Ready_to_move,"Yamuna Vihar, Shahdara",4,2430,10288,3,Furnished,Resale,1,25000000
Builder_Floor,Ready_to_move,"Yamuna Vihar, Shahdara",3,2475,28283,3,Furnished,Resale,1,70000000
Builder_Floor,Ready_to_move,"Yamuna Vihar, Shahdara",7,2970,8923,4,Furnished,Resale,1,26500000
Builder_Floor,Ready_to_move,"Yamuna Vihar, Shahdara",3,2250,8222,2,Furnished,Resale,1,18500000
Builder_Floor,Ready_to_move,"Yamuna Vihar, Shahdara",5,1500,20000,3,Furnished,Resale,1,30000000
Builder_Floor,Ready_to_move,"Yamuna Vihar, Shahdara",2,1512,14550,2,Furnished,Resale,1,22000000
Builder_Floor,Ready_to_move,"Yamuna Vihar, Shahdara",3,2160,30093,3,Furnished,Resale,1,65000000
Builder_Floor,Ready_to_move,"Yamuna Vihar, Shahdara",3,630,35714,2,Furnished,Resale,1,22500000
Builder_Floor,Ready_to_move,"Yamuna Vihar, Shahdara",6,324,35714,3,Furnished,Resale,1,8700000
Builder_Floor,Ready_to_move,"Yamuna Vihar, Shahdara",6,720,35714,5,Furnished,Resale,1,22000000
Builder_Floor,Ready_to_move,"Yamuna Vihar, Shahdara",4,675,35714,2,Furnished,Resale,2,18500000
Builder_Floor,Ready_to_move,"Yamuna Vihar, Shahdara",2,700,22857,1,Furnished,New_Property,2,16000000
Builder_Floor,Ready_to_move,"Yamuna Vihar, Shahdara",4,675,22857,3,Furnished,Resale,2,16000000
Builder_Floor,Ready_to_move,"Yamuna Vihar, Shahdara",4,720,12500,2,Furnished,Resale,2,9000000
Builder_Floor,Ready_to_move,"Jyoti Colony, Shahdara",2,850,12500,2,Furnished,Resale,1,4500000
Builder_Floor,Ready_to_move,Laxmi Nagar,3,801,,2,Semi-Furnished,New_Property,1,6000000
Builder_Floor,Ready_to_move,Laxmi Nagar,1,450,,2,Unfurnished,Resale,1,2700000
Apartment,Ready_to_move,Laxmi Nagar,3,1000,,2,Unfurnished,Resale,1,6500000
Apartment,Ready_to_move,Laxmi Nagar,3,990,4040,2,Unfurnished,Resale,1,4000000
Builder_Floor,Ready_to_move,Laxmi Nagar,2,420,4040,1,Semi-Furnished,New_Property,1,2600000
Builder_Floor,Ready_to_move,Laxmi Nagar,2,450,7778,1,Semi-Furnished,Resale,1,3500000
Apartment,Ready_to_move,Laxmi Nagar,2,1000,7778,2,Unfurnished,Resale,1,7500000
Builder_Floor,Ready_to_move,Laxmi Nagar,3,900,7778,2,Semi-Furnished,Resale,1,7000000
Builder_Floor,Ready_to_move,Laxmi Nagar,3,800,7778,2,Semi-Furnished,New_Property,1,4500000
Builder_Floor,Ready_to_move,Laxmi Nagar,3,720,7778,3,Semi-Furnished,Resale,2,5500000
Builder_Floor,Ready_to_move,Laxmi Nagar,2,450,7778,1,Semi-Furnished,New_Property,2,2700000
Builder_Floor,Ready_to_move,Laxmi Nagar,2,675,32000,2,Furnished,Resale,2,2400000
Builder_Floor,Ready_to_move,Laxmi Nagar,4,1700,32000,3,Unfurnished,New_Property,2,11500000
Builder_Floor,Ready_to_move,"Guru Angad Nagar West, Laxmi Nagar",2,550,32000,2,Unfurnished,New_Property,2,3600000
Builder_Floor,Ready_to_move,"Guru Angad Nagar West, Laxmi Nagar",1,387,32000,2,Unfurnished,New_Property,2,1700000
Apartment,Ready_to_move,"Lalita Park, Laxmi Nagar",2,450,32000,1,Unfurnished,Resale,2,2500000
Builder_Floor,Ready_to_move,Laxmi Nagar,4,900,32000,2,Furnished,Resale,1,6600000
Builder_Floor,Ready_to_move,Laxmi Nagar,2,500,32000,1,Semi-Furnished,Resale,1,3700000
Apartment,Ready_to_move,"Krishan Kunj, Laxmi Nagar",2,441,32000,1,Unfurnished,Resale,1,3500000
Builder_Floor,Ready_to_move,"Lalita Park, Laxmi Nagar",3,800,32000,2,Semi-Furnished,Resale,1,5400000
Builder_Floor,Ready_to_move,Laxmi Nagar ,2,450,5666,2,Semi-Furnished,New_Property,1,2550000
Builder_Floor,Ready_to_move,Laxmi Nagar,3,1000,5666,3,Furnished,Resale,1,12500000
Apartment,Ready_to_move,Laxmi Nagar,2,715,5666,2,Unfurnished,Resale,1,5600000
Builder_Floor,Ready_to_move,Laxmi Nagar,2,600,11667,2,Unfurnished,Resale,1,7000000
Builder_Floor,Ready_to_move,Laxmi Nagar,2,540,11667,1,Unfurnished,Resale,1,3500000
Apartment,Ready_to_move,"Bank Enclave, Laxmi Nagar",4,312,112179,4,Furnished,Resale,1,35000000
Builder_Floor,Ready_to_move,Laxmi Nagar,3,810,11111,2,Semi-Furnished,Resale,1,9000000
Builder_Floor,Ready_to_move,"Guru Angad Nagar West, Laxmi Nagar",1,270,11111,1,Semi-Furnished,Resale,1,2300000
Builder_Floor,Ready_to_move,Laxmi Nagar,3,900,11111,2,Semi-Furnished,Resale,1,6000000
Apartment,Ready_to_move,Laxmi Nagar,3,1000,11111,2,Unfurnished,Resale,1,6000000
Builder_Floor,Ready_to_move,Uttam Nagar,2,540,,2,Semi-Furnished,New_Property,1,2650000
Apartment,Ready_to_move,"Uttam Nagar Floors, Uttam Nagar",3,950,4600,2,Furnished,New_Property,1,4370000
Apartment,Ready_to_move,"Virat Residency, Dwarka Mor",3,1000,4620,2,Unfurnished,New_Property,1,4620000
Apartment,Ready_to_move,"Adarsh Homes, Dwarka Mor",2,540,5000,2,Semi-Furnished,New_Property,1,3000000
Apartment,Ready_to_move,"Kushwaha Homes, Uttam Nagar",2,540,6111,2,Semi-Furnished,New_Property,1,3300000
Builder_Floor,Almost_ready,"Partap Homes, Bhagwati Vihar, Uttam Nagar",3,1000,6111,2,Semi-Furnished,New_Property,1,5510000
Builder_Floor,Ready_to_move,Dwarka Mor,2,500,6111,2,Semi-Furnished,New_Property,1,3200000
Builder_Floor,Ready_to_move,Uttam Nagar West,2,540,6111,2,Semi-Furnished,New_Property,1,2600000
Builder_Floor,Ready_to_move,Uttam Nagar,3,780,6111,2,Semi-Furnished,New_Property,1,4000000
Builder_Floor,Ready_to_move,Uttam Nagar West,2,450,6111,1,Semi-Furnished,New_Property,1,1850000
Builder_Floor,Ready_to_move,Uttam Nagar,1,360,6111,1,Semi-Furnished,New_Property,1,1700000
Builder_Floor,Ready_to_move,"SB Residency, Dwarka Mor",3,900,6111,2,Semi-Furnished,New_Property,1,2800000
Builder_Floor,Ready_to_move,Uttam Nagar West,2,495,6111,2,Semi-Furnished,New_Property,1,2150000
Builder_Floor,Ready_to_move,"SB Residency, Dwarka Mor",4,1200,6111,3,Semi-Furnished,New_Property,1,6800000
Builder_Floor,Ready_to_move,Uttam Nagar,3,1000,6111,2,Semi-Furnished,New_Property,1,6200000
Builder_Floor,Ready_to_move,Uttam Nagar,2,620,6111,2,Semi-Furnished,New_Property,1,3100000
Builder_Floor,Ready_to_move,Dwarka Mor,3,680,6111,2,Semi-Furnished,New_Property,1,3400000
Builder_Floor,Ready_to_move,"Kiran Garden, Uttam Nagar",2,805,6111,2,Unfurnished,Resale,1,4000000
Builder_Floor,Ready_to_move,"Mohan Garden, Razapur Khurd",2,729,6584,2,Semi-Furnished,Resale,1,4800000
Builder_Floor,Ready_to_move,Uttam Nagar,2,540,6584,2,Semi-Furnished,New_Property,1,2500000
Builder_Floor,Ready_to_move,Uttam Nagar,1,360,6584,1,Semi-Furnished,New_Property,1,2000000
Builder_Floor,Ready_to_move,Uttam Nagar West,2,550,6584,2,Semi-Furnished,New_Property,1,1900000
Builder_Floor,Ready_to_move,"Mitya Homes, Dwarka Mor",3,1001,5794,2,Furnished,New_Property,1,5800000
Builder_Floor,Ready_to_move,Dwarka Mor,2,450,5794,2,Unfurnished,Resale,1,2900000
Builder_Floor,Ready_to_move,Uttam Nagar West,2,550,5794,1,Semi-Furnished,New_Property,1,2000000
Builder_Floor,Ready_to_move,Uttam Nagar ,2,550,5794,2,Semi-Furnished,New_Property,1,2600000
Builder_Floor,Ready_to_move,Uttam Nagar,2,675,5794,1,Unfurnished,Resale,1,2900000
Builder_Floor,Ready_to_move,Uttam Nagar,2,585,5794,2,Unfurnished,Resale,1,3200000
Builder_Floor,Ready_to_move,"New Uttam Nagar, Uttam Nagar",3,810,5794,2,Semi-Furnished,Resale,1,5400000
Builder_Floor,Ready_to_move,Dwarka Mor,3,765,5794,2,Semi-Furnished,Resale,1,3800000
Apartment,Almost_ready,"The Leela Sky Villas, Patel Nagar",5,4688,28797,4,Unfurnished,New_Property,1,135000000
Apartment,Almost_ready,"The Leela Sky Villas, Patel Nagar",4,3901,23840,4,Unfurnished,New_Property,1,93000000
Builder_Floor,Ready_to_move,"Patel Nagar South, Patel Nagar",2,70,23840,3,Furnished,New_Property,1,8200000
Builder_Floor,Ready_to_move,Patel Nagar West,3,800,23840,2,Unfurnished,Resale,1,8000000
Builder_Floor,Ready_to_move,Patel Nagar West,3,900,23840,2,Semi-Furnished,Resale,1,9500000
Builder_Floor,Ready_to_move,Patel Nagar West,4,1680,23840,5,Semi-Furnished,Resale,1,20000000
Builder_Floor,Ready_to_move,Patel Nagar West,2,900,23840,2,Furnished,Resale,3,7400000
Apartment,Ready_to_move,"Patel Nagar East, Patel Nagar",3,2000,23840,3,Semi-Furnished,Resale,1,37500000
Builder_Floor,Ready_to_move,Patel Nagar West,4,2000,7500,4,Semi-Furnished,Resale,3,15000000
Apartment,Almost_ready,"The Leela Sky Villas, Patel Nagar",3,1900,7500,3,Semi-Furnished,New_Property,1,55300000
Builder_Floor,Ready_to_move,"Patel Nagar East, Patel Nagar",3,1530,7500,3,Semi-Furnished,Resale,2,26500000
Apartment,Ready_to_move,"Patel Nagar East, Patel Nagar",3,100,160000,2,Semi-Furnished,Resale,2,16000000
Builder_Floor,Ready_to_move,Patel Nagar West,3,900,11556,2,Furnished,Resale,2,10400000
Builder_Floor,Ready_to_move,Patel Nagar West,1,270,11556,1,Unfurnished,Resale,2,1700000
Builder_Floor,Ready_to_move,Patel Nagar West,2,950,8421,2,Semi-Furnished,Resale,2,8000000
Builder_Floor,Ready_to_move,"Patel Nagar East, Patel Nagar",3,1800,8421,3,Semi-Furnished,Resale,2,27000000
Builder_Floor,Ready_to_move,Patel Nagar West,3,1500,8421,3,Semi-Furnished,Resale,2,19500000
Apartment,Ready_to_move,"Patel Nagar East, Patel Nagar",3,1800,27778,3,Furnished,Resale,3,50000000
Builder_Floor,Ready_to_move,Patel Nagar West,3,1800,11722,3,Unfurnished,Resale,3,21100000
Apartment,Almost_ready,"The Leela Sky Villas, Patel Nagar",3,2306,24718,3,Unfurnished,New_Property,1,57000000
Builder_Floor,Ready_to_move,Patel Nagar West,2,850,24718,3,Semi-Furnished,Resale,1,5900000
Builder_Floor,Ready_to_move,"Punjabi Basti, Patel Nagar",3,140,85714,2,Unfurnished,New_Property,1,12000000
Builder_Floor,Ready_to_move,Patel Nagar West,3,900,13333,2,Unfurnished,Resale,1,12000000
Apartment,Ready_to_move,Patel Nagar West,3,1800,13333,3,Unfurnished,Resale,1,24000000
Apartment,Ready_to_move,"Patel Nagar East, Patel Nagar",1,200,13333,1,Semi-Furnished,Resale,1,7000000
Apartment,Ready_to_move,"Patel Nagar East, Patel Nagar",3,1782,8418,3,Semi-Furnished,Resale,1,15000000
Builder_Floor,Ready_to_move,"Baljit Nagar, Patel Nagar",2,900,1667,2,Furnished,Resale,1,1500000
Apartment,Ready_to_move,Patel Nagar West,2,405,1667,1,Semi-Furnished,Resale,1,3950000
Builder_Floor,Ready_to_move,Patel Nagar West,3,1500,8333,3,Unfurnished,Resale,1,12500000
Apartment,Ready_to_move,"Baljit Nagar, Patel Nagar",3,66,24242,1,Unfurnished,New_Property,1,1600000
Apartment,Ready_to_move,"DDA Flats Vasant Kunj, Vasant Kunj Sector B",4,2000,,4,Unfurnished,Resale,2,36500000
Apartment,Ready_to_move,"DDA Flats Vasant Kunj, Vasant Kunj",3,1200,,2,Semi-Furnished,Resale,1,20000000
Apartment,Ready_to_move,Vasant Kunj,2,1100,,2,Semi-Furnished,Resale,1,15000000
Apartment,Ready_to_move,Vasant Kunj,3,1400,,2,Semi-Furnished,New_Property,2,25000000
Apartment,Ready_to_move,"DDA Flats Vasant Kunj, Vasant Kunj",3,1600,,2,Semi-Furnished,Resale,2,18500000
Apartment,Ready_to_move,"DDA Flats Pocket 1, Vasant Kunj Sector B",4,1600,,3,Unfurnished,Resale,2,23500000
Apartment,Ready_to_move,Vasant Kunj,1,600,,1,Semi-Furnished,New_Property,1,8000000
Apartment,Ready_to_move,"Saraswati Narmada Ganga Yamuna Apartment, Vasant Kunj Sector D",3,1600,,2,Unfurnished,Resale,1,23000000
Apartment,Ready_to_move,"DDA Flats Vasant Kunj, Vasant Kunj",3,2000,15500,3,Unfurnished,Resale,1,31000000
Apartment,Ready_to_move,"DDA Flats Sector E Pocket 1, Vasant Kunj",1,650,15500,2,Semi-Furnished,Resale,1,7400000
Apartment,Ready_to_move,Vasant Kunj,2,1100,15500,2,Unfurnished,Resale,1,15500000
Apartment,Ready_to_move,"DDA Flats Sector E Pocket 1, Vasant Kunj",2,1075,15500,2,Semi-Furnished,New_Property,2,12000000
Apartment,Ready_to_move,"DDA Flats Vasant Kunj, Vasant Kunj Sector D",3,1450,15500,2,Semi-Furnished,Resale,2,23500000
Apartment,Ready_to_move,Vasant Kunj Sector A,3,1200,20833,2,Semi-Furnished,Resale,2,25000000
Apartment,Ready_to_move,"E2 Vasant Kunj, Vasant Kunj",1,600,20833,2,Unfurnished,New_Property,2,7000000
Apartment,Ready_to_move,"DDA Flats Vasant Kunj, Vasant Kunj",2,1000,20833,2,Unfurnished,Resale,1,17500000
Apartment,Ready_to_move,"Ganga Apartment Sector D Pocket 6, Vasant Kunj",3,1600,20833,2,Semi-Furnished,Resale,1,25000000
Apartment,Ready_to_move,Vasant Kunj Sector C,4,1750,20833,4,Unfurnished,New_Property,1,29000000
Apartment,Ready_to_move,"DDA Flats Sector E Pocket 1, Vasant Kunj",3,1300,20833,3,Semi-Furnished,Resale,1,21900000
Apartment,Ready_to_move,Vasant Kunj Sector D,1,550,20833,2,Furnished,Resale,1,7500000
Apartment,Ready_to_move,"DDA Flats Vasant Kunj, Vasant Kunj Sector C",4,2200,10681,3,Semi-Furnished,Resale,2,23500000
Apartment,Ready_to_move,Vasant Kunj Sector C,2,1100,21818,2,Semi-Furnished,Resale,2,24000000
Builder_Floor,Ready_to_move,Vasant Kunj,3,1700,21818,2,Semi-Furnished,Resale,2,31000000
Apartment,Ready_to_move,Vasant Kunj,2,1100,21818,2,Semi-Furnished,Resale,3,16500000
Builder_Floor,Ready_to_move,"Kishangarh, Vasant Kunj",2,1000,21818,2,Furnished,Resale,1,5000000
Apartment,Ready_to_move,"DDA Pocket 1, Vasant Kunj Sector D",3,1350,21818,2,Furnished,New_Property,1,24000000
Apartment,Ready_to_move,"Ganga Apartment Sector D Pocket 6, Vasant Kunj",2,1184,14358,2,Semi-Furnished,Resale,1,17000000
Apartment,Ready_to_move,Vasant Kunj Sector B,4,2000,14358,2,Furnished,New_Property,1,40000000
Builder_Floor,Ready_to_move,Vasant Kunj,4,3500,14358,4,Semi-Furnished,New_Property,5,22500000
Builder_Floor,Ready_to_move,Vasant Kunj,3,900,14358,3,Furnished,Resale,2,20000000
Apartment,Almost_ready,"The Leela Sky Villas, Patel Nagar",5,4688,28797,4,Unfurnished,New_Property,1,135000000
